location,address,latitude,longitude
Amsterdam,"Amsterdam, North Holland, Netherlands",52.3730796,4.8924534
Utrecht,"Utrecht, Netherlands",52.080985600000005,5.12768396945229
The Hague,"The Hague, South Holland, Netherlands",52.0799838,4.3113461
Maastricht,"Maastricht, Limburg, Netherlands",50.85798545,5.6969881818221095
Schiphol,"Schiphol, Haarlemmermeer, North Holland, Netherlands",52.3080392,4.7621975
Rotterdam,"Rotterdam, South Holland, Netherlands",51.9244424,4.47775
Wageningen,"Wageningen, Gelderland, Netherlands",51.9685817,5.668298061827958
Groningen,"Groningen, Netherlands",53.2190652,6.5680077
Netherlands,Netherlands,52.2434979,5.6343227
Dordrecht,"Dordrecht, South Holland, Netherlands",51.7958812,4.6779351
Delft,"Delft, South Holland, Netherlands",51.999457199999995,4.362724538543995
Veldhoven,"Veldhoven, North Brabant, Netherlands",51.4190691,5.4045572
Eindhoven,"Eindhoven, North Brabant, Netherlands",51.44855695,5.450122521857143
Veghel,"Veghel, Meierijstad, North Brabant, Netherlands",51.6134636,5.5446455
Diemen,"Diemen, North Holland, Netherlands",52.3350493,4.984282926187014
Nieuwegein,"Nieuwegein, Utrecht, Netherlands",52.0298704,5.0929333789192395
Netherlands ,Netherlands,52.2434979,5.6343227
Zaandam,"Zaandam, Zaanstad, North Holland, Netherlands",52.4424926,4.8298607
Maarssen,"Maarssen, Stichtse Vecht, Utrecht, Netherlands",52.1384846,5.040082
Rijswijk,"Rijswijk, South Holland, Netherlands",52.0446265,4.3188215
Houten,"Houten, Utrecht, Netherlands",52.03061555,5.161216639426677
Noord,"Noord, Para, Suriname",5.60067755,-55.28013661064335
Amstelveen,"Amstelveen, North Holland, Netherlands",52.3025582,4.8467875
Bilthoven,"Bilthoven, De Bilt, Utrecht, Netherlands",52.1289693,5.2046134
Rosmalen,"Rosmalen, 's-Hertogenbosch, North Brabant, Netherlands",51.71866,5.3629244
Dinteloord,"Dinteloord, Steenbergen, North Brabant, Netherlands",51.6339484,4.3680313
South Holland,"South Holland, Netherlands",51.9966792,4.5597397
Zwolle,"Zwolle, Overijssel, Netherlands",52.5089759,6.0943765
Almelo,"Almelo, Overijssel, Netherlands",52.3567956,6.66725277634109
's-Hertogenbosch,"'s-Hertogenbosch, North Brabant, Netherlands",51.6889387,5.303116
Doorn,"Doorn, Utrechtse Heuvelrug, Utrecht, Netherlands",52.0333163,5.3455956
Veenendaal,"Veenendaal, Utrecht, Netherlands",52.02320415,5.551800233162295
Duivendrecht,"Duivendrecht, Stationsplein, Duivendrecht, Ouder-Amstel, North Holland, Netherlands, 1115 BZ, Netherlands",52.3235282,4.9364854
Leiden,"Leiden, South Holland, Netherlands",52.1594747,4.4908843
Nijmegen,"Nijmegen, Gelderland, Netherlands",51.842574850000005,5.838960628748229
Soest,"Soest, Kreis Soest, North Rhine-Westphalia, 59494, Germany",51.5725501,8.1061259
Driebergen-Rijsenburg,"Driebergen-Rijsenburg, Utrechtse Heuvelrug, Utrecht, Netherlands",52.0516547,5.2836332
Oss,"Oss, North Brabant, Netherlands",51.778354199999995,5.532083610932192
Amersfoort,"Amersfoort, Utrecht, Netherlands",52.1562499,5.3896944
Helmond,"Helmond, North Brabant, Netherlands",51.4790956,5.6557686
Hoofddorp,"Hoofddorp, Haarlemmermeer, North Holland, Netherlands",52.305554,4.6926644
Hengelo,"Hengelo, Overijssel, Netherlands",52.2658726,6.7924049
Venlo,"Venlo, Limburg, Netherlands",51.39244885,6.1511724144122955
